Comment,Designator,Footprint,LCSC,Quantity
0.1uf,"C1,C2,C3,C5,C7",C_0603_1608Metric,C14663,5
0.22uf,C4,C_0603_1608Metric,C21120,1
10,R1,R_0603_1608Metric,C22859,1
4.7uf,C6,C_0603_1608Metric,C19666,1
ADXL367BCCZ-RL7,U2,CC-12-4_ADI,C17643415,1
AT25FF321A-SHN-B,U1,SOIC-8_5.3x6.2mm_P1.27mm,C5591126,1
BMP585,U3,LGA9_BMP585_BOS,C18184976,1
