Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C7",0603,5,0.1uf,C14663
U1,SOIC-8_5.3x6.2mm_P1.27mm,1,AT25FF321A-SHN-B,C5591126
U2,CC-12-4_ADI,1,ADXL367BCCZ-RL7,C17643415
U3,LGA9_BMP585_BOS,1,BMP585,C18184976
