Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C501, C502, C503",0201,6,0.1uf,C181047
C3,0201,1,0.22uf,C710823
"C4, C404",0402,2,22uf,C2179118
D401,0402,1,D,C2886012
Q501,SOT-883,1,Q_NPN_BEC,C686658
R1,0201,1,10k,C106225
U1,adesto_wlcsp12,1,at25ex321D-UUN,C1858339
U2,lga12-2.3x2.3,1,adxl367,ADXL367BCCZ-RL7
U302,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,stm32l431kc,C1337280
U501,RV-8803-C7,1,RV-3028-C7,C3019759
